"_","Id","Energy_Area__c","Meter_Number__c","MeterID__c"
"[Charging_Facility__c]","a239Y0000000YfkQAE","NO1","7359992907477141","707057500057278293"
"[Charging_Facility__c]","a239Y0000000YflQAE","NO1","7359992902746570","707057500057282283"
"[Charging_Facility__c]","a239Y0000000YfmQAE","NO1","7359992907471217","707057500057278309"
"[Charging_Facility__c]","a239Y0000000YfnQAE","NO1","7359992909018892","707057500057323153"
"[Charging_Facility__c]","a239Y0000000YfoQAE","NO1","7359992902755992","707057500057281002"
"[Charging_Facility__c]","a239Y0000000YfpQAE","NO1","7359992909019684","707057500057323245"
"[Charging_Facility__c]","a239Y0000000YfqQAE","NO1","7359992902746730","707057500057282290"
"[Charging_Facility__c]","a239Y0000000YfrQAE","NO1","7359992909029942","707057500057323139"
"[Charging_Facility__c]","a239Y0000000YfsQAE","NO1","7359992909024510","707057500057323115"
"[Charging_Facility__c]","a239Y0000000YftQAE","NO3","6970631408058243","707057500065475714"
"[Charging_Facility__c]","a239Y0000000YfuQAE","NO3","6970631408295006","707057500069088002"
"[Charging_Facility__c]","a239Y0000000YfvQAE","NO3","6970631408295020","707057500069087968"
"[Charging_Facility__c]","a239Y0000000YfxQAE","NO3","6970631408295365","707057500069087999"
"[Charging_Facility__c]","a239Y0000000YfyQAE","NO3","6970631408295051","707057500069087982"
"[Charging_Facility__c]","a239Y0000000YfzQAE","NO3","6970631408719960","707057500069123598"
"[Charging_Facility__c]","a239Y0000000Yg0QAE","NO1","7359992909030016","707057500057356649"
"[Charging_Facility__c]","a239Y0000000Yg1QAE","NO1","7359992909022394","707057500057356663"
"[Charging_Facility__c]","a239Y0000000Yg2QAE","NO1","7359992908004629","707057500057365610"
"[Charging_Facility__c]","a239Y0000000Yg3QAE","NO1","7359992909016904","707057500057358322"
"[Charging_Facility__c]","a239Y0000000Yg4QAE","NO3","6970631405215748","707057500069106249"
"[Charging_Facility__c]","a239Y0000000Yg5QAE","NO1","7359992908006166","707057500057358308"
"[Charging_Facility__c]","a239Y0000000Yg6QAE","NO1","7359992909022431","707057500057356656"
"[Charging_Facility__c]","a239Y0000000Yg7QAE","NO3","6970631408295013","707057500069087975"
