,site_key,name,circuit_id,avg_value_kW,site_id,voltage,amps
0,23TA-6222,Mårvegen,30609,8.0,17508,400.0,12.0
1,23TA-6222,Mårvegen,30677,7.0,17508,400.0,10.0
2,24U4-G222,Frusethenga Tun 5 og 6,58134,6.0,57704,230.0,15.0
3,25AJ-V222,Sundstredet,155321,3.0,112672,230.0,8.0
4,25AJ-V222,Sundstredet,155322,8.0,112672,230.0,20.0
5,25AJ-V222,Sundstredet,155323,8.0,112672,230.0,20.0
6,25AJ-V222,Sundstredet,155324,7.0,112672,230.0,18.0
7,25AJ-V222,Sundstredet,155327,8.0,112672,230.0,20.0
8,25AJ-V222,Sundstredet,155328,7.0,112672,230.0,18.0
9,25AJ-V222,Sundstredet,155329,5.0,112672,230.0,13.0
10,25AJ-V222,Sundstredet,155330,3.0,112672,230.0,8.0
11,25AJ-V222,Sundstredet,155331,7.0,112672,230.0,18.0
12,26NP-C722,Lyshovden Sone 4,661435,7.0,699088,230.0,18.0
13,26NP-C722,Lyshovden Sone 4,661436,8.0,699088,230.0,20.0
14,26NP-C722,Lyshovden Sone 4,661437,8.0,699088,230.0,20.0
15,27CZ-2622,Sameiet Hansastø,500564,8.0,528296,230.0,20.0
16,27P2-6722,Flisvika Brygge,646957,9.0,671828,400.0,13.0
17,27P2-6722,Flisvika Brygge,646958,8.0,671828,400.0,12.0
18,27P2-6722,Flisvika Brygge,647111,4.0,671828,400.0,6.0
19,27P2-6722,Flisvika Brygge,647112,7.0,671828,400.0,10.0
20,27P2-6722,Flisvika Brygge,647113,6.0,671828,400.0,9.0
21,27P2-6722,Flisvika Brygge,647114,9.0,671828,400.0,13.0
22,27P2-6722,Flisvika Brygge,647115,7.0,671828,400.0,10.0
23,27P2-6722,Flisvika Brygge,647116,8.0,671828,400.0,12.0
24,27WM-P622,Bjørndalsskogen Borettslag Blokk 2,578333,8.0,612848,,
25,28GD-L522,Holmen,445374,8.0,468408,400.0,12.0
26,28T4-7722,Lønnegaarden Terrasse,638822,6.0,676196,400.0,9.0
27,28T4-7722,Lønnegaarden Terrasse,638823,8.0,676196,400.0,12.0
28,2A6J-3722,Vestre Hetlevikhøyden Brl.  Område 1 og 2,644461,5.0,661521,230.0,13.0
29,2A6J-3722,Vestre Hetlevikhøyden Brl.  Område 1 og 2,644462,7.0,661521,230.0,18.0
30,2A6J-3722,Vestre Hetlevikhøyden Brl.  Område 1 og 2,644463,6.0,661521,230.0,15.0
31,2A6J-3722,Vestre Hetlevikhøyden Brl.  Område 1 og 2,644464,7.0,661521,230.0,18.0
32,2A6J-3722,Vestre Hetlevikhøyden Brl.  Område 1 og 2,644465,4.0,661521,230.0,10.0
33,2AMG-Y622,Bjerkealleen BT2,613078,7.0,649037,400.0,10.0
34,2AMG-Y622,Bjerkealleen BT2,613079,7.0,649037,400.0,10.0
35,2AMS-5522,Lier Hageby - Carport,468012,8.0,408653,400.0,12.0
36,2AMS-5522,Lier Hageby - Carport,468085,8.0,408653,400.0,12.0
37,2B3A-8222,Rate Terrasse,25386,6.0,25605,400.0,9.0
38,2DYA-A422,Einerlien Borettslag - Gamle Mathopsveien,283008,6.0,296057,230.0,15.0
39,2EUX-X422,Alfred Trønsdals veg 20 og Othilienborgtunet 15,306586,4.0,384745,230.0,10.0
40,2EUX-X422,Alfred Trønsdals veg 20 og Othilienborgtunet 15,322042,7.0,384745,230.0,18.0
41,2EUX-X422,Alfred Trønsdals veg 20 og Othilienborgtunet 15,322043,7.0,384745,230.0,18.0
42,2EUX-X422,Alfred Trønsdals veg 20 og Othilienborgtunet 15,565874,5.0,384745,230.0,13.0
43,2EUX-X422,Alfred Trønsdals veg 20 og Othilienborgtunet 15,565899,4.0,384745,230.0,10.0
44,2FT6-8622,Sameiet Marieroveien 7-17,520261,4.0,549477,,
45,2FT6-8622,Sameiet Marieroveien 7-17,520280,6.0,549477,,
46,2HTQ-4422,Sameiet Hegdehaugsveien 36,287545,5.0,273253,230.0,13.0
47,2HTQ-4422,Sameiet Hegdehaugsveien 36,287546,7.0,273253,230.0,18.0
48,2HTQ-4422,Sameiet Hegdehaugsveien 36,287547,4.0,273253,230.0,10.0
49,2HTQ-4422,Sameiet Hegdehaugsveien 36,287687,7.0,273253,230.0,18.0
50,2HTQ-4422,Sameiet Hegdehaugsveien 36,287688,4.0,273253,230.0,10.0
51,2HTQ-4422,Sameiet Hegdehaugsveien 36,287740,4.0,273253,230.0,10.0
52,2JTC-5222,Bringebærhagen,14727,7.0,13670,400.0,10.0
53,2JTC-5222,Bringebærhagen,14760,7.0,13670,400.0,10.0
54,2K43-E222,Ulsholt brl kjeller 1,47933,7.0,49290,230.0,18.0
55,2K43-E222,Ulsholt brl kjeller 1,47940,8.0,49290,230.0,20.0
56,2K7B-B222,Smørblomstveien 26-28,43496,8.0,38038,400.0,12.0
57,2L4W-R722,Tingvegen Sone 1.1 & 1.2,741418,6.0,753162,230.0,15.0
58,2L4W-R722,Tingvegen Sone 1.1 & 1.2,741422,5.0,753162,230.0,13.0
59,2L4W-R722,Tingvegen Sone 1.1 & 1.2,749925,7.0,753162,230.0,18.0
60,2L4W-R722,Tingvegen Sone 1.1 & 1.2,750887,6.0,753162,230.0,15.0
61,2M2Q-M422,Sameiet Rosenlund Park,341219,9.0,342786,400.0,13.0
62,2N3X-J822,Yippi BB1 - Fortunalia,803999,7.0,855686,400.0,10.0
63,2N3X-J822,Yippi BB1 - Fortunalia,804016,8.0,855686,400.0,12.0
64,2NR6-X422,Søndre Veitvedt,402516,7.0,381534,230.0,18.0
65,2NR6-X422,Søndre Veitvedt,402517,10.0,381534,230.0,25.0
66,2NVY-L222,Stølstunet,211128,5.0,77678,400.0,7.0
67,2NVY-L222,Stølstunet,211137,7.0,77678,400.0,10.0
68,2NVY-L222,Stølstunet,211142,8.0,77678,400.0,12.0
69,2NVY-L222,Stølstunet,78801,8.0,77678,400.0,12.0
70,2NVY-L222,Stølstunet,78830,7.0,77678,400.0,10.0
71,2P7F-V222,Nedre Langeland I,114411,6.0,112278,230.0,15.0
72,2P7F-V222,Nedre Langeland I,114413,4.0,112278,230.0,10.0
73,2P7F-V222,Nedre Langeland I,114414,6.0,112278,230.0,15.0
