,site_key,name,avg_value_kW,site_id,voltage,amps
0,23TA-6222,Mårvegen,10.0,17508,400.0,14.0
1,24U4-G222,Frusethenga Tun 5 og 6,6.0,57704,230.0,15.0
2,25AJ-V222,Sundstredet,15.0,112672,230.0,38.0
3,26NP-C722,Lyshovden Sone 4,13.0,699088,230.0,33.0cd .
4,27CZ-2622,Sameiet Hansastø,8.0,528296,230.0,20.0
5,27P2-6722,Flisvika Brygge,10.0,671828,400.0,14.0
6,27WM-P622,Bjørndalsskogen Borettslag Blokk 2,8.0,612848,,
7,28GD-L522,Holmen,8.0,468408,400.0,12.0
8,28T4-7722,Lønnegaarden Terrasse,7.0,676196,400.0,10.0
9,2A6J-3722,Vestre Hetlevikhøyden Brl.  Område 1 og 2,10.0,661521,230.0,25.0
10,2AMG-Y622,Bjerkealleen BT2,8.0,649037,400.0,12.0
11,2AMS-5522,Lier Hageby - Carport,11.0,408653,400.0,16.0
12,2B3A-8222,Rate Terrasse,6.0,25605,400.0,9.0
13,2DYA-A422,Einerlien Borettslag - Gamle Mathopsveien,6.0,296057,230.0,15.0
14,2EUX-X422,Alfred Trønsdals veg 20 og Othilienborgtunet 15,7.0,384745,230.0,18.0
15,2FT6-8622,Sameiet Marieroveien 7-17,6.0,549477,,
16,2HTQ-4422,Sameiet Hegdehaugsveien 36,10.0,273253,230.0,25.0
17,2JTC-5222,Bringebærhagen,8.0,13670,400.0,12.0
18,2K43-E222,Ulsholt brl kjeller 1,10.0,49290,230.0,25.0
19,2K7B-B222,Smørblomstveien 26-28,8.0,38038,400.0,12.0
20,2L4W-R722,Tingvegen Sone 1.1 & 1.2,10.0,753162,230.0,25.0
21,2M2Q-M422,Sameiet Rosenlund Park,9.0,342786,400.0,13.0
22,2N3X-J822,Yippi BB1 - Fortunalia,9.0,855686,400.0,13.0
23,2NR6-X422,Søndre Veitvedt,10.0,381534,230.0,25.0
24,2NVY-L222,Stølstunet,8.0,77678,400.0,12.0
25,2P7F-V222,Nedre Langeland I,8.0,112278,230.0,20.0
26,2PE9-B222,Grevlingveien 13 plasser ute mot gjerdet,6.0,37810,230.0,15.0
27,2Q5Z-R222,Eineberg Vel,10.0,98190,230.0,25.0
28,2SWW-7222,Hallset Hage,8.0,24179,400.0,12.0
29,2TQ3-9222,Furulundtoppen 19,4.0,28891,230.0,10.0
30,2TRD-V222,Meklenborg brl Hovseterveien 46,5.0,112095,230.0,13.0
31,2UD6-M522,"Sundekrossen Brl, Sundelia 24",7.0,471599,400.0,10.0
32,2VYH-V222,Elvebredden Borettslag,6.0,112635,230.0,15.0
33,2VYX-8222,Manesjen 4,6.0,28411,400.0,9.0
34,2VZ7-9222,Skullerudhøgda II - GEV 73,8.0,29439,230.0,20.0
35,2Y9U-G322,Ole Nypans vei,9.0,191775,400.0,13.0
36,2ZV4-R522,Romolslia 46-56,6.0,487791,230.0,15.0
37,32WR-H722,Bjerkealleen BT3,9.0,719856,400.0,13.0
38,34KE-V222,Meklenborg brl Hovseterveien 40,7.0,112196,230.0,18.0
39,34RV-U622,Liaparken Borettslag B1,13.0,634332,,
40,366K-6222,Senterparken Borettslag,8.0,18576,400.0,12.0
41,3AWX-H422,Mistelpark - Parkeringskjeller - Felt 1,9.0,327409,400.0,13.0
42,3BUU-4222,Ingemann torps vei 15 - SØR,7.0,11625,400.0,10.0
43,3C2Q-8522,Rødberget Garasjelag SA,11.0,420609,230.0,28.0
44,3DS7-8222,Vingesvingen,9.0,25313,400.0,13.0
45,3E4W-A222,Parkeringskjeller - Fernanda Nissens Gate 10,13.0,36361,400.0,19.0
