,circuit_id,timestamp,day_of_week,value_kWh
0,4ce05beb-d3cd-429b-acbc-b305dd20c8d6-GaroCS-46552E2A66280,2025-01-17 12:00:00+00:00,Friday,8545.674
1,4ce05beb-d3cd-429b-acbc-b305dd20c8d6-GaroCS-46552E2A66280,2025-01-18 12:00:00+00:00,Saturday,0.0
2,4ce05beb-d3cd-429b-acbc-b305dd20c8d6-GaroCS-46552E2A66280,2025-01-19 12:00:00+00:00,Sunday,0.0
3,4ce05beb-d3cd-429b-acbc-b305dd20c8d6-GaroCS-46552E2A66280,2025-01-20 12:00:00+00:00,Monday,924.0431
4,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-09 12:00:00+00:00,Thursday,1181.6434
5,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-10 12:00:00+00:00,Friday,0.0
6,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-11 12:00:00+00:00,Saturday,0.0
7,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-12 12:00:00+00:00,Sunday,3086.527
8,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-13 12:00:00+00:00,Monday,334.2568
9,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-14 12:00:00+00:00,Tuesday,3595.6391
10,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-15 12:00:00+00:00,Wednesday,519.2938
11,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-16 12:00:00+00:00,Thursday,614.4283
12,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-17 12:00:00+00:00,Friday,1.7709000000000001
13,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-18 12:00:00+00:00,Saturday,58.551500000000004
14,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-19 12:00:00+00:00,Sunday,486.6211
15,8a4d2632-7d1f-465f-a4a5-d7dd67bfa2c8-GaroCS-44371B2A46980,2025-01-20 12:00:00+00:00,Monday,530.5552
