,circuit_id,timestamp,day_of_week,value_kWh
0,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-15 12:00:00+00:00,Wednesday,53.6813289
1,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-16 12:00:00+00:00,Thursday,0.0
2,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-17 12:00:00+00:00,Friday,0.0
3,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-18 12:00:00+00:00,Saturday,12.362286399999999
4,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-19 12:00:00+00:00,Sunday,0.0
5,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-20 12:00:00+00:00,Monday,9.570946900000001
6,08f761c5-2f08-49ad-baa3-84328deb6272,2025-01-21 12:00:00+00:00,Tuesday,12.1568871
7,1e318844-395b-4f62-addf-8d5dcd6e10cb,2025-01-14 12:00:00+00:00,Tuesday,19.493484799999997
8,1e318844-395b-4f62-addf-8d5dcd6e10cb,2025-01-15 12:00:00+00:00,Wednesday,79.1544376
9,1e318844-395b-4f62-addf-8d5dcd6e10cb,2025-01-16 12:00:00+00:00,Thursday,0.0
10,1e318844-395b-4f62-addf-8d5dcd6e10cb,2025-01-17 12:00:00+00:00,Friday,0.0
11,1e318844-395b-4f62-addf-8d5dcd6e10cb,2025-01-18 12:00:00+00:00,Saturday,100.5457088
12,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-14 12:00:00+00:00,Tuesday,11.665232
13,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-15 12:00:00+00:00,Wednesday,26.6562
14,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-16 12:00:00+00:00,Thursday,0.0
15,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-17 12:00:00+00:00,Friday,0.0
16,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-18 12:00:00+00:00,Saturday,137.6020531
17,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-19 12:00:00+00:00,Sunday,165.2646911
18,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-20 12:00:00+00:00,Monday,49.4710911
19,8fbb9818-183f-4e4b-9ec4-48b71e5dc8c3,2025-01-21 12:00:00+00:00,Tuesday,76.4208436
20,9c765405-f93d-4fcb-836b-b817c3757ef6,2025-01-14 12:00:00+00:00,Tuesday,79.9975475
