,site_key,circuit_id,timestamp,name,sum_value,chargers,circuit_power_kw,used_power_ratio
0,VKGS-M222,79333,2024-12-02 00:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
1,VKGS-M222,79333,2024-12-02 01:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
2,VKGS-M222,79333,2024-12-02 02:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
3,VKGS-M222,79333,2024-12-02 03:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
4,VKGS-M222,79333,2024-12-02 04:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
5,VKGS-M222,79333,2024-12-02 05:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
6,VKGS-M222,79333,2024-12-02 06:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
7,VKGS-M222,79333,2024-12-02 07:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
8,VKGS-M222,79333,2024-12-02 08:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
9,VKGS-M222,79333,2024-12-02 09:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
10,VKGS-M222,79333,2024-12-02 10:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
11,VKGS-M222,79333,2024-12-02 11:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
12,VKGS-M222,79333,2024-12-02 12:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
13,VKGS-M222,79333,2024-12-02 13:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
14,VKGS-M222,79333,2024-12-02 14:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
15,VKGS-M222,79333,2024-12-02 15:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
16,VKGS-M222,79333,2024-12-02 16:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
17,VKGS-M222,79333,2024-12-02 17:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
18,VKGS-M222,79333,2024-12-02 18:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
19,VKGS-M222,79333,2024-12-02 19:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
20,VKGS-M222,79333,2024-12-02 20:00:00+00:00,Sameiet Husmorgården,0.0,0.0,0.0,0.0
21,VKGS-M222,79333,2024-12-02 21:00:00+00:00,Sameiet Husmorgården,2.561056613922119,1.0,43.647680350735705,5.87
