,site_key,name,circuit_id,avg_value_kWh
0,28T4-7722,Lønnegaarden Terrasse,638822,8.0
1,28T4-7722,Lønnegaarden Terrasse,638823,10.0
2,6M6M-7222,Hallingstadskogen - Hyllvegen - Oppgang 13C,45738,8.0
3,6M6M-7222,Hallingstadskogen - Hyllvegen - Oppgang 13C,740671,5.0
4,8N4M-N722,Fløifjell Borettslag,696969,8.0
5,8N4M-N722,Fløifjell Borettslag,696971,4.0
6,EMRB-G222,Eplehaven 2,57480,7.0
7,RYW8-C322,Holkebylia 5 BRL,165926,7.0
8,RYW8-C322,Holkebylia 5 BRL,166092,6.0
9,TRED-E222,Pardisvegen,54688,5.0
10,ZQK6-W522,Martin Skatvedts vei 8-10 - Rundingen,482879,6.0
